source: https://buecker.baseball.cbssports.com/transactions?print_rows=9999
captured: 2026-08-03T10:29:28
---
DATE|TEAM|PLAYERS|EFFECTIVE|COST
7/27/26 9:44 AM ET|Runtime Terror|Caleb Durbin 3B • BOS - Added|7/27/26|$2.50
7/27/26 9:44 AM ET|Big Sticks|Spencer Steer 1B,OF • CIN - Dropped|7/27/26|$0.00
7/27/26 9:43 AM ET|Runtime Terror|Steven Kwan OF • CLE - Added|7/27/26|$2.50
7/27/26 9:39 AM ET|Runtime Terror|Kerry Carpenter OF • DET - Dropped|7/27/26|$0.00
7/27/26 8:53 AM ET|Rieken Havoc|Zach Thornton P • NYM - Added; Gage Jump P • ATH - Dropped|7/27/26|$2.50
7/27/26 8:49 AM ET|Rieken Havoc|Jorge Polanco 2B • NYM - Dropped|7/27/26|$0.00
7/26/26 9:38 PM ET|Magnum GI|Francisco Alvarez C • NYM - Added; Samuel Basallo C • BAL - Moved to IR|7/27/26|$2.50
7/26/26 6:27 PM ET|Gashouse Gang|Aaron Nola P • PHI - Dropped|7/27/26|$0.00
7/26/26 6:13 PM ET|Big Sticks|Andrew Kittredge P • BAL - Dropped|7/27/26|$0.00
7/25/26 9:08 AM ET|Maga Doge|Hogan Harris P • ATH - Added|7/27/26|$2.50
7/25/26 8:54 AM ET|Long Balls|Christian Encarnacion-Strand 1B • BAL - Added; Luis Lara OF • MIL - Dropped|7/27/26|$2.50
7/22/26 11:27 PM ET|Long Balls|Ty France 1B • SD - Added|7/27/26|$2.50
7/22/26 5:48 PM ET|Gashouse Gang|Brady Singer P • CIN - Added; Bryan King P • HOU - Sent to Minors|7/27/26|$2.50
7/22/26 5:40 PM ET|Like a Nightmare|Chase Meidroth 2B,SS • CHW - Added; Bobby Witt SS • KC - Moved to IR|7/27/26|$2.50
7/22/26 3:35 AM ET|Young Guns|Pete Fairbanks P • MIA - Added off Waivers|7/27/26|$2.50
7/22/26 2:28 AM ET|Simba's Dublin Green Sox|Chad Patrick P • MIL - Added; Antonio Senzatela P • COL - Dropped|7/27/26|$2.50
7/21/26 4:43 PM ET|Trex|Colt Keith 2B,3B • DET - Added; Kyle Manzardo 1B • CLE - Dropped|7/27/26|$2.50
7/21/26 4:36 PM ET|Trex|Ronel Blanco P • HOU - Added; Didier Fuentes P • ATL - Dropped|7/27/26|$2.50
7/20/26 8:12 PM ET|Long Balls|Kumar Rocker P | TEX Dropped|7/20/26|$0.00
7/20/26 8:11 PM ET|Long Balls|Brandon Pfaadt P | ARI Added|7/20/26|$2.50
7/20/26 4:00 PM ET|Like a Nightmare|Pete Fairbanks P • MIA - Dropped|7/20/26|$0.00
7/20/26 2:42 AM ET|Simba's Dublin Green Sox|Keider Montero P • DET - Added; Dylan Lee P • ATL - Dropped|7/20/26|$2.50
7/19/26 12:10 PM ET|Long Balls|Lane Thomas OF • ATL - Added|7/20/26|$2.50
7/18/26 6:30 PM ET|Magnum GI|Christian Scott P • NYM - Added; Reynaldo Lopez P • ATL - Dropped|7/20/26|$2.50
7/17/26 11:15 PM ET|Like a Nightmare|Roki Sasaki P • LAD - Added; Clayton Beeter P • WAS - Dropped|7/20/26|$2.50
7/17/26 11:03 AM ET|Maga Doge|Kyle Leahy P • STL - Added|7/20/26|$2.50
7/16/26 6:24 PM ET|Dawg|Alec Bohm 3B • PHI - Dropped|7/20/26|$0.00
7/16/26 1:36 PM ET|Rieken Havoc|Tatsuya Imai P • HOU - Dropped|7/13/26|$0.00
7/14/26 5:33 AM ET|Maga Doge|Cooper Pratt SS • MIL - Added|7/13/26|$2.50
7/14/26 3:34 AM ET|Like a Nightmare|Clayton Beeter P • WAS - Added off Waivers; Roki Sasaki P • LAD - Dropped|7/13/26|$2.50
7/13/26 2:28 PM ET|Guillotine|Spencer Schwellenbach P • ATL - Added; Nick Lodolo P • CIN - Moved to IR|7/13/26|$2.50
7/13/26 12:32 PM ET|Big Sticks|Landen Roupp P • SF - Added; Luis Castillo P • CHW - Dropped|7/13/26|$2.50
7/13/26 3:16 AM ET|Simba's Dublin Green Sox|Stephen Kolek P • KC - Dropped|7/13/26|$0.00
7/12/26 7:47 PM ET|Dawg|Andrew Abbott P • CIN - Added; Clayton Beeter P • WAS - Dropped|7/13/26|$2.50
7/12/26 11:27 AM ET|Big Sticks|Taylor Ward OF • BAL - Added; Cedric Mullins OF • TB - Dropped|7/13/26|$2.50
7/12/26 3:45 AM ET|Like a Nightmare|Alejandro Kirk C • TOR - Dropped|7/13/26|$0.00
7/12/26 3:43 AM ET|Like a Nightmare|Shane Bieber P • TOR - Added; Spencer Arrighetti P • HOU - Dropped|7/13/26|$2.50
7/12/26 3:31 AM ET|Rieken Havoc|Gage Jump P • ATH - Added off Waivers|7/13/26|$2.50
7/11/26 1:49 PM ET|Gashouse Gang|Garrett Whitlock P • BOS - Added; Jose Ferrer P • SEA - Dropped|7/13/26|$2.50
7/11/26 12:42 PM ET|Long Balls|Heriberto Hernandez OF • MIA - Added; Lawrence Butler OF • ATH - Dropped|7/13/26|$2.50
7/11/26 7:27 AM ET|Trex|Ernie Clement 2B,3B,SS • TOR - Added; Blaze Jordan 1B,3B • STL - Dropped|7/13/26|$2.50
7/11/26 6:06 AM ET|Guillotine|Nolan Schanuel 1B • LAA - Dropped|7/13/26|$0.00
7/11/26 3:31 AM ET|Like a Nightmare|Spencer Arrighetti P • HOU - Added off Waivers; Noah Schultz P • CHW - Dropped|7/13/26|$2.50
7/10/26 11:46 PM ET|Young Guns|Charlie Condon 1B • COL - Added; Elvis Alvarado P • ATH - Dropped|7/13/26|$2.50
7/10/26 11:40 PM ET|Big Sticks|Andrew Kittredge P • BAL - Added; Dylan Crews OF • WAS - Dropped|7/13/26|$2.50
7/10/26 11:19 PM ET|Young Guns|Jacob Webb P • CHC - Added; Shane Bieber P • TOR - Dropped|7/13/26|$2.50
7/10/26 9:31 PM ET|Dawg|Andres Gimenez 2B,SS • TOR - Dropped|7/13/26|$0.00
7/10/26 12:23 PM ET|Rieken Havoc|Bubba Chandler P • PIT - Dropped|7/13/26|$0.00
7/10/26 12:18 PM ET|Rieken Havoc|Anthony Volpe SS • NYY - Dropped|7/13/26|$0.00
7/10/26 11:22 AM ET|Runtime Terror|Gage Jump P • ATH - Dropped|7/13/26|$0.00
7/9/26 10:39 PM ET|Big Sticks|Jordan Romano P • COL - Added|7/13/26|$2.50
7/9/26 11:39 AM ET|Long Balls|Spencer Arrighetti P • HOU - Dropped|7/13/26|$0.00
7/9/26 12:21 AM ET|Like a Nightmare|Roki Sasaki P • LAD - Added|7/13/26|$2.50
7/7/26 9:33 PM ET|Maga Doge|Kade Anderson P • SEA - Added; Walker Buehler P • SD - Dropped|7/13/26|$2.50
7/7/26 4:13 PM ET|Dawg|Jack Flaherty P | DET Added|7/6/26|$2.50
7/7/26 11:01 AM ET|Long Balls|Luis Lara OF • MIL - Added; Noelvi Marte 3B,OF • CIN - Dropped|7/13/26|$2.50
7/7/26 4:00 AM ET|Like a Nightmare|Wilyer Abreu OF • BOS - Added off Waivers; Shane Baz P • BAL - Dropped|7/13/26|$2.50
7/7/26 12:27 AM ET|Like a Nightmare|Jared Jones P • PIT - Added; Landen Roupp P • SF - Dropped|7/13/26|$2.50
7/6/26 1:49 PM ET|Magnum GI|Kyle Karros 3B • COL - Added; Paul Goldschmidt 1B • NYY - Dropped|7/6/26|$2.50
7/6/26 1:08 PM ET|Like a Nightmare|Taylor Ward OF • BAL - Dropped|7/6/26|$0.00
7/6/26 11:02 AM ET|Runtime Terror|Troy Melton P • DET - Added; Roki Sasaki P • LAD - Dropped|7/6/26|$2.50
7/6/26 10:59 AM ET|Runtime Terror|Dalton Rushing C • LAD - Added; Logan O'Hoppe C • TEX - Dropped|7/6/26|$2.50
7/6/26 10:58 AM ET|Runtime Terror|Garrett Mitchell OF • MIL - Added; Cooper Pratt SS • MIL - Dropped|7/6/26|$2.50
7/6/26 9:12 AM ET|Magnum GI|Max Muncy 2B,3B • ATH - Dropped|7/6/26|$0.00
7/6/26 9:07 AM ET|Magnum GI|Sean Burke P • CHW - Added|7/6/26|$2.50
7/6/26 9:04 AM ET|Magnum GI|Reynaldo Lopez P • ATL - Added; Martin Perez P • ATL - Dropped|7/6/26|$2.50
7/5/26 7:34 PM ET|Guillotine|Jake Bennett P • BOS - Added|7/6/26|$2.50
7/5/26 5:09 PM ET|Big Sticks|Dylan Crews OF • WAS - Added; Rico Garcia P • BAL - Dropped|7/6/26|$2.50
7/5/26 4:56 PM ET|Big Sticks|Cedric Mullins OF • TB - Added; Wilyer Abreu OF • BOS - Dropped|7/6/26|$2.50
7/5/26 12:02 PM ET|Long Balls|Ian Seymour P • TB - Added|7/6/26|$2.50
7/5/26 8:22 AM ET|Maga Doge|Tyler Wells P • BAL - Added; Jorge Soler OF • LAA - Dropped|7/6/26|$2.50
7/4/26 12:41 PM ET|Dawg|Clayton Beeter P • WAS - Added|7/6/26|$2.50
7/3/26 7:11 PM ET|Big Sticks|Rico Garcia P • BAL - Added; Jake Bennett P • BOS - Dropped|7/6/26|$2.50
7/3/26 2:11 PM ET|Long Balls|Kumar Rocker P • TEX - Added|7/6/26|$2.50
7/3/26 2:19 AM ET|Like a Nightmare|Landen Roupp P • SF - Added; Sean Burke P • CHW - Dropped|7/6/26|$2.50
7/2/26 10:51 PM ET|Simba's Dublin Green Sox|Brad Lord P • WAS - Dropped|7/6/26|$0.00
7/2/26 10:48 PM ET|Simba's Dublin Green Sox|Cole Ragans P • KC - Dropped|7/6/26|$0.00
7/2/26 7:41 PM ET|Magnum GI|Esmerlyn Valdez OF • PIT - Added; Samad Taylor OF • SD - Dropped|7/6/26|$2.50
7/2/26 3:54 PM ET|Simba's Dublin Green Sox|Chris Sale P • ATL - Traded from Rieken Havoc; Christian Yelich DH • MIL - Traded from Rieken Havoc|7/6/26|$2.50
7/2/26 3:54 PM ET|Rieken Havoc|Kyle Schwarber DH • PHI - Traded from Simba's Dublin Green Sox|7/6/26|$2.50
7/2/26 8:33 AM ET|Magnum GI|Grant Holmes P • ATL - Dropped|7/6/26|$0.00
7/2/26 8:32 AM ET|Magnum GI|Shane Drohan P • MIL - Added|7/6/26|$2.50
7/1/26 11:30 AM ET|Long Balls|Kyle Teel C • CHW - Dropped|7/6/26|$0.00
7/1/26 11:27 AM ET|Long Balls|Peter Lambert P • HOU - Traded from Maga Doge; Ozzie Albies 2B • ATL - Traded from Maga Doge; Yordan Alvarez DH • HOU - Traded from Maga Doge|7/6/26|$2.50
7/1/26 11:27 AM ET|Maga Doge|JJ Wetherholt 2B,SS • STL - Traded from Long Balls; Chase Burns P • CIN - Traded from Long Balls; Bryce Eldridge DH • SF - Traded from Long Balls|7/6/26|$2.50
6/30/26 11:16 PM ET|Guillotine|Cade Cavalli P • WAS - Added; Landen Roupp P • SF - Dropped|7/6/26|$2.50
6/30/26 9:53 AM ET|Big Sticks|Jake Bennett P • BOS - Added; Keider Montero P • DET - Dropped|7/6/26|$2.50
6/29/26 5:54 PM ET|Guillotine|Nolan Schanuel 1B • LAA - Added|6/29/26|$2.50
6/29/26 4:04 PM ET|Young Guns|Denzer Guzman 3B,SS • LAA - Dropped|6/29/26|$0.00
6/29/26 4:04 PM ET|Young Guns|Clayton Beeter P • WAS - Dropped|6/29/26|$0.00
6/29/26 8:02 AM ET|Maga Doge|Walker Buehler P • SD - Added; Rico Garcia P • BAL - Dropped|6/29/26|$2.50
6/28/26 10:27 PM ET|Trex|Jorge Mateo SS,OF • ATL - Dropped|6/29/26|$0.00
6/28/26 7:17 PM ET|Big Sticks|Luis Castillo P • CHW - Added; Noah Cameron P • KC - Dropped|6/29/26|$2.50
6/28/26 5:55 PM ET|Magnum GI|Brandon Sproat P • MIL - Added; Randy Vasquez P • SD - Dropped|6/29/26|$2.50
6/28/26 1:44 PM ET|Gashouse Gang|Josh Bell 1B • MIN - Added; Nate Lowe 1B • CIN - Dropped|6/29/26|$2.50
6/28/26 2:50 AM ET|Simba's Dublin Green Sox|Erik Sabrowski P • CLE - Dropped|6/29/26|$0.00
6/26/26 11:28 PM ET|Guillotine|Joey Cantillo P • CLE - Added; Robert Suarez P • ATL - Moved to IR|6/29/26|$2.50
6/26/26 9:58 PM ET|Big Sticks|Keider Montero P • DET - Added|6/29/26|$2.50
6/25/26 10:04 PM ET|Trex|Kyle Manzardo 1B • CLE - Added|6/29/26|$2.50
6/25/26 9:59 PM ET|Trex|Tommy Edman 2B,OF • LAD - Added|6/29/26|$2.50
6/25/26 9:55 PM ET|Trex|Blaze Jordan 1B,3B • STL - Added|6/29/26|$2.50
6/25/26 3:04 PM ET|Runtime Terror|Jared Jones P • PIT - Dropped|6/29/26|$0.00
6/24/26 1:29 PM ET|Like a Nightmare|Sean Burke P • CHW - Added; Edward Cabrera P • CHC - Moved to IR|6/29/26|$2.50
6/24/26 3:07 AM ET|Maga Doge|Matt McLain 2B,SS • CIN - Added off Waivers; Jeff Hoffman P • TOR - Dropped|6/29/26|$2.50
6/23/26 1:20 PM ET|Big Sticks|Tony Santillan P • CIN - Added|6/29/26|$2.50
6/22/26 3:52 PM ET|Long Balls|Kyle Teel C • CHW - Added|6/22/26|$2.50
6/22/26 12:00 PM ET|Young Guns|Oswald Peraza 2B,3B • LAA - Dropped|6/22/26|$0.00
6/22/26 12:00 PM ET|Young Guns|Daulton Varsho OF • TOR - Added|6/22/26|$2.50
6/22/26 11:54 AM ET|Magnum GI|Samad Taylor OF • SD - Added; Jacob Young OF • WAS - Dropped|6/22/26|$2.50
6/22/26 2:03 AM ET|Guillotine|Landen Roupp P • SF - Added off Waivers; Matt McLain 2B,SS • CIN - Dropped|6/22/26|$2.50
6/21/26 7:16 PM ET|Runtime Terror|Logan O'Hoppe C • TEX - Added; Dalton Rushing C • LAD - Dropped|6/22/26|$2.50
6/21/26 6:18 PM ET|Young Guns|Victor Vodnik P • COL - Dropped|6/22/26|$0.00
6/21/26 6:17 PM ET|Young Guns|Denzer Guzman 3B,SS • LAA - Added; Luke Raley 1B,OF • SEA - Dropped|6/22/26|$2.50
6/21/26 1:43 PM ET|Gashouse Gang|Adrian Morejon P • SD - Added; Jack Leiter P • TEX - Moved to IR|6/22/26|$2.50
6/20/26 1:05 PM ET|Big Sticks|Bryson Stott 2B • PHI - Added; Colton Cowser OF • BAL - Dropped|6/22/26|$2.50
6/20/26 1:00 PM ET|Big Sticks|Spencer Torkelson 1B • DET - Added; Luis Castillo P • CHW - Dropped|6/22/26|$2.50
6/20/26 10:39 AM ET|Like a Nightmare|Griffin Jax P • TB - Added; Landen Roupp P • SF - Dropped|6/22/26|$2.50
6/20/26 9:11 AM ET|Maga Doge|Peter Lambert P • HOU - Added|6/22/26|$2.50
6/20/26 1:11 AM ET|Like a Nightmare|Alejandro Kirk C • TOR - Added; Keibert Ruiz C • WAS - Dropped|6/22/26|$2.50
6/19/26 12:52 PM ET|Gashouse Gang|Garrett Cleavinger P • TB - Dropped|6/22/26|$0.00
6/18/26 8:45 PM ET|Dawg|Andres Gimenez 2B,SS • TOR - Added|6/22/26|$2.50
6/18/26 8:37 PM ET|Dawg|Alec Bohm 3B • PHI - Added; Ernie Clement 2B,3B,SS • TOR - Dropped|6/22/26|$2.50
6/18/26 4:05 PM ET|Guillotine|Blaze Jordan 1B,3B • STL - Dropped|6/22/26|$0.00
6/18/26 2:32 AM ET|Guillotine|Jakob Marsee OF • MIA - Added off Waivers|6/22/26|$2.50
6/18/26 12:54 AM ET|Guillotine|Francisco Alvarez C • NYM - Dropped|6/22/26|$0.00
6/17/26 11:16 AM ET|Young Guns|Elvis Alvarado P • ATH - Added; Cade Cavalli P • WAS - Dropped|6/22/26|$2.50
6/17/26 5:03 AM ET|Simba's Dublin Green Sox|Andre Pallante P • STL - Added; Angel Martinez 2B,OF • CLE - Moved to IR|6/22/26|$2.50
6/17/26 2:29 AM ET|Like a Nightmare|Chandler Simpson OF • TB - Added off Waivers; Griffin Jax P • TB - Dropped|6/22/26|$2.50
6/17/26 2:29 AM ET|Maga Doge|Alex Lange P • KC - Added off Waivers; Joey Cantillo P • CLE - Dropped|6/22/26|$2.50
6/16/26 11:41 PM ET|Big Sticks|Joshua Baez OF • STL - Added|6/22/26|$2.50
6/16/26 1:01 PM ET|Runtime Terror|Kerry Carpenter OF • DET - Added; Jakob Marsee OF • MIA - Dropped|6/22/26|$2.50
6/16/26 12:16 PM ET|Runtime Terror|Cooper Pratt SS • MIL - Added; Chase Meidroth 2B,SS • CHW - Dropped|6/22/26|$2.50
6/16/26 2:04 AM ET|Simba's Dublin Green Sox|Daniel Susac C | SF Dropped|6/15/26|$0.00
6/15/26 1:23 PM ET|Rieken Havoc|TJ Rumfield 1B • COL - Added; Jose Ramirez 3B • CLE - Moved to IR|6/15/26|$2.50
6/15/26 1:07 PM ET|Gashouse Gang|Cedric Mullins OF • TB - Dropped|6/15/26|$0.00
6/15/26 8:27 AM ET|Runtime Terror|Kody Clemens 1B,2B,OF • MIN - Added; Esteury Ruiz OF • MIA - Dropped|6/15/26|$2.50
6/15/26 8:04 AM ET|Big Sticks|Alex Lange P • KC - Dropped|6/15/26|$0.00
6/15/26 7:52 AM ET|Maga Doge|Chandler Simpson OF • TB - Dropped|6/15/26|$0.00
6/15/26 12:51 AM ET|Like a Nightmare|Griffin Jax P • TB - Added; Spencer Torkelson 1B • DET - Dropped|6/15/26|$2.50
6/14/26 11:57 PM ET|Magnum GI|Paul Goldschmidt 1B • NYY - Added; Ildemaro Vargas 1B,2B • ARI - Dropped|6/15/26|$2.50
6/14/26 10:15 PM ET|Guillotine|Blaze Jordan 1B,3B • STL - Added; Christian Scott P • NYM - Dropped|6/15/26|$2.50
6/14/26 9:49 PM ET|Magnum GI|Jeremiah Jackson 2B,OF • BAL - Dropped|6/15/26|$0.00
6/14/26 9:05 PM ET|Young Guns|Gleyber Torres 2B • DET - Dropped|6/15/26|$0.00
6/14/26 6:34 PM ET|Long Balls|Grayson Rodriguez P • LAA - Dropped|6/15/26|$0.00
6/14/26 3:09 AM ET|Simba's Dublin Green Sox|Ezequiel Duran 1B,2B,3B,SS,OF • TEX - Added; Trent Grisham OF • NYY - Moved to IR|6/15/26|$2.50
6/13/26 6:32 PM ET|Long Balls|Noelvi Marte 3B,OF • CIN - Added; Zac Gallen P • ARI - Dropped|6/15/26|$2.50
6/13/26 11:44 AM ET|Long Balls|Adolis Garcia OF • PHI - Dropped|6/15/26|$0.00
6/13/26 9:00 AM ET|Dawg|Alejandro Kirk C • TOR - Dropped|6/15/26|$0.00
6/13/26 8:55 AM ET|Dawg|Kyle Finnegan P • DET - Dropped|6/15/26|$0.00
6/13/26 3:16 AM ET|Simba's Dublin Green Sox|Brad Lord P • WAS - Added; Kerry Carpenter OF • DET - Dropped|6/15/26|$2.50
6/13/26 2:10 AM ET|Magnum GI|Jake Mangum OF • PIT - Added; Brent Rooker OF • ATH - Moved to IR|6/15/26|$2.50
6/13/26 12:37 AM ET|Like a Nightmare|Andrew Painter P • PHI - Dropped|6/15/26|$0.00
6/12/26 9:54 AM ET|Runtime Terror|Dalton Rushing C • LAD - Added|6/15/26|$2.50
6/12/26 8:56 AM ET|Magnum GI|Brandon Young P • BAL - Added; Andrew Abbott P • CIN - Dropped|6/15/26|$2.50
6/11/26 8:11 PM ET|Big Sticks|Colton Cowser OF • BAL - Added; Brenton Doyle OF • COL - Moved to IR|6/15/26|$2.50
6/11/26 6:10 PM ET|Young Guns|Cole Carrigg OF • COL - Added; Ryan Waldschmidt OF • ARI - Dropped|6/15/26|$2.50
6/10/26 4:09 PM ET|Long Balls|Adolis Garcia OF • PHI - Added; Gavin Sheets 1B,OF • SD - Dropped|6/15/26|$2.50
6/10/26 9:35 AM ET|Guillotine|Braden Montgomery OF • CHW - Added; Ezequiel Duran 1B,2B,3B,SS,OF • TEX - Dropped|6/15/26|$2.50
6/9/26 8:44 AM ET|Runtime Terror|Chase Meidroth 2B,SS | CHW Added|6/8/26|$2.50
6/8/26 8:21 PM ET|Gashouse Gang|Luis Garcia 1B,2B • NYY - Added; J.P. Crawford 3B,SS • SEA - Moved to IR|6/15/26|$2.50
6/8/26 3:27 PM ET|Maga Doge|Jung Hoo Lee OF • SF - Added|6/8/26|$2.50
6/8/26 8:54 AM ET|Big Sticks|Ramon Laureano OF • SD - Dropped|6/8/26|$0.00
6/8/26 8:42 AM ET|Magnum GI|Andrew Abbott P • CIN - Added; David Sandlin P • CHW - Dropped|6/8/26|$2.50
6/8/26 8:22 AM ET|Rieken Havoc|Brad Keller P • PHI - Dropped|6/8/26|$0.00
6/8/26 2:05 AM ET|Young Guns|A.J. Ewing OF • NYM - Added off Waivers|6/8/26|$2.50
6/8/26 12:15 AM ET|Guillotine|Sam Antonacci 2B,OF • CHW - Added; Daulton Varsho OF • TOR - Dropped|6/8/26|$2.50
6/7/26 11:01 PM ET|Simba's Dublin Green Sox|Colin Holderman P • CLE - Dropped|6/8/26|$0.00
6/7/26 10:35 PM ET|Long Balls|Bryce Eldridge DH • SF - Added; Mark Vientos 1B,3B • NYM - Dropped|6/8/26|$2.50
6/7/26 7:36 PM ET|Gashouse Gang|Griffin Jax P • TB - Dropped|6/8/26|$0.00
6/7/26 2:15 AM ET|Like a Nightmare|Landen Roupp P • SF - Added off Waivers; Merrill Kelly P • ARI - Dropped|6/8/26|$2.50
6/6/26 5:18 PM ET|Magnum GI|Nick Gonzales 2B,3B • PIT - Added; Miguel Andujar 3B,OF • SD - Dropped|6/8/26|$2.50
6/6/26 4:29 PM ET|Gashouse Gang|Cedric Mullins OF • TB - Added; Willi Castro 2B,3B,SS,OF • COL - Dropped|6/8/26|$2.50
6/6/26 4:26 PM ET|Gashouse Gang|Mauricio Dubon 2B,3B,SS,OF • ATL - Added; Steven Kwan OF • CLE - Dropped|6/8/26|$2.50
6/6/26 1:49 PM ET|Dawg|Noelvi Marte 3B,OF • CIN - Dropped|6/8/26|$0.00
6/6/26 1:46 PM ET|Dawg|Carlos Cortes OF • ATH - Dropped|6/8/26|$0.00
6/6/26 1:45 PM ET|Dawg|A.J. Ewing OF • NYM - Dropped|6/8/26|$0.00
6/6/26 1:21 PM ET|Gashouse Gang|J.P. Crawford 3B,SS • SEA - Added; Colton Cowser OF • BAL - Dropped|6/8/26|$2.50
6/6/26 2:14 AM ET|Like a Nightmare|Spencer Torkelson 1B • DET - Added off Waivers; Lucas Erceg P • KC - Dropped|6/8/26|$2.50
6/5/26 3:10 PM ET|Long Balls|Yoendrys Gomez P • MIN - Added; Dalton Rushing C • LAD - Dropped|6/8/26|$2.50
6/5/26 10:37 AM ET|Runtime Terror|Dustin May P • STL - Added|6/8/26|$2.50
6/5/26 9:28 AM ET|Big Sticks|Alex Lange P • KC - Added; Landen Roupp P • SF - Dropped|6/8/26|$2.50
6/5/26 3:27 AM ET|Simba's Dublin Green Sox|Stephen Kolek P • KC - Added; Matthew Liberatore P • STL - Dropped|6/8/26|$2.50
6/4/26 11:55 PM ET|Guillotine|Christian Scott P • NYM - Added; Bryson Stott 2B • PHI - Dropped|6/8/26|$2.50
6/4/26 6:32 PM ET|Young Guns|Gus Varland P • WAS - Dropped|6/8/26|$0.00
6/4/26 4:45 PM ET|Young Guns|Paul Skenes P • PIT - Traded from Simba's Dublin Green Sox|6/8/26|$2.50
6/4/26 4:45 PM ET|Simba's Dublin Green Sox|Kyle Schwarber DH • PHI - Traded from Young Guns|6/8/26|$2.50
6/4/26 3:29 AM ET|Simba's Dublin Green Sox|Eduardo Rodriguez P • ARI - Added; Spencer Torkelson 1B • DET - Dropped|6/8/26|$2.50
6/2/26 6:35 PM ET|Big Sticks|Brenton Doyle OF • COL - Added; Ramon Laureano OF • SD - Moved to IR|6/8/26|$2.50
6/1/26 2:48 PM ET|Big Sticks|Mitch Keller P • PIT - Dropped|6/1/26|$0.00
6/1/26 1:36 PM ET|Young Guns|Oswald Peraza 2B,3B • LAA - Added|6/1/26|$2.50
6/1/26 8:27 AM ET|Runtime Terror|River Ryan P • DET - Added|6/1/26|$2.50
5/31/26 11:15 PM ET|Like a Nightmare|Dylan Crews OF • WAS - Dropped|6/1/26|$0.00
5/31/26 3:29 PM ET|Trex|Nolan Gorman 2B,3B • STL - Dropped|6/1/26|$0.00
